Date,Time,label,PT08_S1_CO,NMHC_GT,C6H6_GT,PT08_S2_NMHC,Nox_GT,PT08_S3(NOx),NO2_GT,PT08_S4_NO2,PT08_S5_O3,T,RH,AH
3/21/04,18:00:00,3.8,1546,200,15.1,1151,173,769,116,1874,1122,18.5,43.8,0.9252
3/21/04,19:00:00,3.5,1501,200,12.6,1071,185,823,119,1744,1130,17.8,48.1,0.9689
3/21/04,20:00:00,4.3,1605,200,15.1,1153,266,769,144,1840,1637,17.9,46.9,0.9520
3/21/04,21:00:00,2.8,1316,200,9.9,974,188,883,123,1673,1272,17.4,49.1,0.9688
3/21/04,22:00:00,1.9,1195,200,8.0,898,122,933,105,1594,1098,17.0,51.7,0.9914
3/21/04,23:00:00,1.9,1211,200,7.9,896,112,920,93,1624,1066,16.4,55.1,1.0198
3/22/04,0:00:00,1.7,1161,200,6.1,815,93,995,86,1582,909,16.1,60.0,1.0919
3/22/04,1:00:00,1.5,1095,200,5.1,767,74,1050,76,1547,818,15.8,60.5,1.0805
3/22/04,2:00:00,0.6,897,200,1.7,563,23,1417,33,1355,472,16.3,57.0,1.0491
3/22/04,3:00:00,0.4,842,200,0.7,468,200,1813,200,1274,394,16.9,53.9,1.0309
3/22/04,4:00:00,200,854,200,0.8,481,17,1756,27,1304,396,16.1,55.9,1.0153
3/22/04,5:00:00,0.3,845,200,0.7,472,15,1786,23,1278,378,16.5,53.9,1.0049
3/22/04,6:00:00,0.6,942,200,2.0,586,41,1480,46,1373,432,16.4,54.0,0.9979
3/22/04,7:00:00,1.2,1090,200,5.1,768,86,1072,76,1538,699,15.7,57.6,1.0195
3/22/04,8:00:00,3.6,1514,200,17.7,1230,226,732,116,1996,1252,15.8,53.7,0.9571
3/22/04,9:00:00,3.7,1379,200,18.4,1252,214,711,115,1962,1237,17.4,42.1,0.8281
3/22/04,10:00:00,1.8,1074,200,6.9,854,115,1032,83,1484,772,17.9,38.4,0.7793
3/22/04,11:00:00,1.6,1090,200,7.3,868,124,1026,87,1509,766,18.5,36.7,0.7764
3/22/04,12:00:00,1.9,1110,200,9.6,964,122,947,90,1577,829,21.0,29.6,0.7263
3/22/04,13:00:00,2,1102,200,10.4,994,107,955,87,1599,783,21.3,28.1,0.7067
3/22/04,14:00:00,2.2,1100,200,11.2,1021,133,952,99,1607,822,21.3,26.1,0.6539
3/22/04,15:00:00,2.1,1094,200,10.7,1003,130,965,99,1574,813,21.3,26.8,0.6681
3/22/04,16:00:00,2.3,1076,451,11.6,1034,150,964,101,1544,813,21.3,24.2,0.6060
3/22/04,17:00:00,2.6,1152,185,12.4,1062,138,928,103,1606,850,20.2,28.5,0.6682
3/22/04,18:00:00,3.8,1407,426,18.3,1249,213,720,129,1932,1276,17.0,43.1,0.8264
3/22/04,19:00:00,4.4,1438,672,21.0,1325,232,678,143,1993,1401,15.6,47.4,0.8347
3/22/04,20:00:00,4.5,1425,624,21.0,1325,238,678,146,1965,1356,15.3,47.4,0.8178
3/22/04,21:00:00,3.3,1279,325,14.5,1131,180,775,124,1758,1243,14.5,49.7,0.8177
3/22/04,22:00:00,2,1132,143,8.4,916,128,920,113,1561,1083,13.9,52.0,0.8231
3/22/04,23:00:00,1.1,1006,89,4.3,729,65,1142,80,1370,795,14.5,49.4,0.8106
3/23/04,0:00:00,0.9,982,73,3.8,700,53,1204,72,1359,735,13.8,51.4,0.8071
3/23/04,1:00:00,0.8,969,48,2.7,636,47,1271,64,1309,684,14.0,51.3,0.8163
3/23/04,2:00:00,0.7,941,47,2.5,621,51,1298,70,1330,714,13.0,56.8,0.8444
3/23/04,3:00:00,0.5,892,36,1.2,522,200,1522,200,1285,456,11.0,70.0,0.9215
3/23/04,4:00:00,200,855,25,0.8,478,20,1701,31,1261,401,10.1,76.8,0.9483
3/23/04,5:00:00,0.3,834,19,0.6,459,13,1908,22,1212,361,8.8,80.5,0.9147
3/23/04,6:00:00,0.5,909,26,1.8,567,33,1542,47,1287,418,9.6,75.4,0.9004
3/23/04,7:00:00,1.1,1061,60,4.6,745,103,1178,88,1429,616,9.8,75.0,0.9093
3/23/04,8:00:00,3,1441,248,14.2,1124,224,851,130,1829,1089,10.0,74.2,0.9117
3/23/04,9:00:00,3.8,1498,535,21.0,1325,244,684,132,2095,1329,11.2,69.7,0.9232
3/23/04,10:00:00,3.4,1343,340,16.2,1185,237,760,132,1857,1311,12.0,62.9,0.8803
3/23/04,11:00:00,3,1308,325,15.5,1166,220,792,131,1794,1236,12.8,55.8,0.8210
3/23/04,12:00:00,2.7,1209,267,13.4,1097,207,837,129,1746,1147,13.1,54.8,0.8234
3/23/04,13:00:00,3.5,1310,325,16.9,1207,208,770,132,1847,1301,13.8,53.4,0.8351
3/23/04,14:00:00,2.8,1171,268,12.4,1064,160,881,110,1639,1097,16.0,42.4,0.7674
3/23/04,15:00:00,1.9,1112,136,10.1,980,131,924,99,1589,900,14.1,49.8,0.7971
3/23/04,16:00:00,2,1132,118,8.7,927,128,944,100,1570,781,12.0,61.1,0.8537
3/23/04,17:00:00,3,1225,276,13.8,1111,176,818,122,1719,1013,13.6,54.6,0.8465
3/23/04,18:00:00,1.9,1065,151,9.3,953,107,962,97,1514,790,13.7,49.5,0.7695
3/23/04,19:00:00,2.7,1236,236,13.0,1084,131,854,112,1688,1059,11.7,57.1,0.7822
3/23/04,20:00:00,3.3,1309,220,14.3,1126,166,812,128,1722,1205,11.5,58.2,0.7867
3/23/04,21:00:00,1.7,1089,87,7.6,884,89,1006,101,1487,975,12.6,54.2,0.7881
3/23/04,22:00:00,1.3,1000,81,5.3,776,81,1141,96,1375,896,12.0,54.9,0.7664
3/23/04,23:00:00,1.3,1041,74,5.4,782,78,1105,86,1425,911,11.0,61.4,0.8057
3/24/04,0:00:00,1.2,1045,55,4.9,756,70,1137,85,1411,902,11.1,62.2,0.8199
3/24/04,1:00:00,1.1,997,74,4.6,744,76,1151,79,1405,832,10.8,62.5,0.8082
3/24/04,2:00:00,0.9,948,35,2.7,634,43,1320,61,1326,715,11.3,60.0,0.8025
3/24/04,3:00:00,0.6,878,29,1.6,551,200,1493,200,1272,683,10.6,61.6,0.7856
3/24/04,4:00:00,200,908,29,1.7,559,44,1477,66,1287,721,10.2,62.7,0.7813
3/24/04,5:00:00,0.6,892,20,1.2,522,34,1572,54,1255,648,10.9,58.6,0.7628
3/24/04,6:00:00,0.8,954,32,1.7,561,43,1496,57,1255,612,10.8,57.2,0.7382
3/24/04,7:00:00,1.2,1045,84,4.8,751,79,1186,75,1403,800,10.4,59.2,0.7455
3/24/04,8:00:00,3.1,1383,245,13.8,1109,174,832,97,1706,1173,11.0,57.3,0.7501
3/24/04,9:00:00,4.4,1597,553,23.7,1395,235,652,110,2080,1519,11.2,56.9,0.7565
3/24/04,10:00:00,3.4,1318,450,14.2,1124,218,762,113,1770,1287,12.1,54.9,0.7734
3/24/04,11:00:00,1.7,1138,118,8.0,898,136,950,88,1505,966,15.1,44.3,0.7535
3/24/04,12:00:00,1.5,1098,118,6.7,842,117,1012,85,1440,828,15.6,40.6,0.7146
3/24/04,13:00:00,1.7,1118,144,8.7,927,119,959,96,1477,825,16.9,34.6,0.6597
3/24/04,14:00:00,2.2,1170,159,10.8,1009,126,879,106,1566,872,16.6,35.6,0.6697
3/24/04,15:00:00,200,1112,122,6.7,842,100,1015,91,1494,680,11.3,63.9,0.8554
3/24/04,16:00:00,2.7,1390,230,11.4,1028,197,829,126,1730,1002,9.6,81.1,0.9720
3/24/04,17:00:00,2.8,1353,320,13.4,1096,195,774,130,1783,1159,11.7,69.1,0.9497
3/24/04,18:00:00,2.7,1260,263,12.0,1050,156,828,111,1722,979,10.7,68.5,0.8794
3/24/04,19:00:00,4.5,1501,556,20.2,1302,247,681,134,2008,1311,10.7,67.3,0.8643
3/24/04,20:00:00,3.5,1273,458,14.4,1130,190,795,136,1744,1071,10.8,65.7,0.8486
3/24/04,21:00:00,2.6,1179,214,9.4,955,169,928,125,1571,899,10.3,66.3,0.8336
3/24/04,22:00:00,1.7,1047,97,5.9,809,118,1064,108,1435,766,10.1,66.9,0.8248
3/24/04,23:00:00,1.3,973,79,4.5,739,81,1186,87,1354,589,10.4,61.1,0.7717
3/25/04,0:00:00,1.3,997,81,4.5,737,80,1168,89,1341,631,10.3,59.9,0.7516
3/25/04,1:00:00,1,970,52,2.5,621,42,1400,58,1249,479,11.0,58.4,0.7686
3/25/04,2:00:00,0.7,902,38,1.8,568,38,1450,54,1253,479,9.1,68.1,0.7890
3/25/04,3:00:00,0.7,921,35,1.4,538,200,1564,200,1224,417,9.5,68.2,0.8091
3/25/04,4:00:00,0.5,858,29,0.9,490,18,1707,28,1212,378,9.3,72.3,0.8496
3/25/04,5:00:00,0.5,878,21,0.6,457,12,1935,20,1158,344,9.9,66.8,0.8152
3/25/04,6:00:00,0.6,893,46,1.4,540,43,1604,51,1268,413,7.6,83.2,0.8695
3/25/04,7:00:00,1.1,1038,55,3.8,697,84,1260,82,1383,605,8.1,79.0,0.8544
3/25/04,8:00:00,2.7,1320,271,11.6,1035,184,902,112,1721,991,8.7,74.6,0.8429
3/25/04,9:00:00,3.5,1353,434,17.8,1235,202,740,119,1937,1175,8.6,75.1,0.8415
3/25/04,10:00:00,2.3,1133,300,8.8,933,133,969,99,1552,923,9.7,69.7,0.8389
3/25/04,11:00:00,1.6,1066,116,6.8,849,130,1039,98,1468,829,11.0,64.4,0.8447
3/25/04,12:00:00,1.3,1027,95,5.9,809,106,1081,88,1442,733,13.6,53.0,0.8209
3/25/04,13:00:00,2,1106,211,8.9,935,132,958,96,1570,819,14.2,48.4,0.7780
3/25/04,14:00:00,1.9,1038,168,8.2,907,106,976,81,1492,723,14.2,46.3,0.7438
3/25/04,15:00:00,1.9,1084,154,8.6,924,125,986,92,1501,786,16.0,41.3,0.7462
3/25/04,16:00:00,2.2,1105,267,10.1,982,138,939,105,1545,850,17.7,35.4,0.7094
3/25/04,17:00:00,2,1102,143,9.4,957,120,968,88,1527,820,17.1,37.4,0.7225
3/25/04,18:00:00,2.9,1240,374,14.6,1137,158,836,103,1748,991,14.9,40.5,0.6835
3/25/04,19:00:00,5.2,1443,797,24.6,1418,253,666,141,2060,1454,13.4,47.8,0.7293
3/25/04,20:00:00,4.6,1389,698,21.6,1341,231,692,133,1982,1488,12.6,52.5,0.7642
3/25/04,21:00:00,2.5,1183,234,10.3,989,150,904,119,1539,1205,12.2,53.2,0.7555
3/25/04,22:00:00,1.5,1014,104,5.7,798,99,1083,106,1376,909,10.6,56.1,0.7140
3/25/04,23:00:00,1.2,979,67,4.5,736,75,1154,92,1324,769,9.9,59.5,0.7276
3/26/04,0:00:00,1.7,1048,88,5.5,787,93,1098,97,1373,835,9.6,61.1,0.7323
3/26/04,1:00:00,1.4,1024,79,4.8,753,79,1131,91,1357,793,9.7,61.6,0.7425
3/26/04,2:00:00,1.2,974,61,3.6,690,67,1208,83,1313,733,9.4,62.6,0.7398
3/26/04,3:00:00,0.6,862,43,1.7,561,200,1449,200,1219,502,8.2,68.5,0.7455
3/26/04,4:00:00,0.7,925,40,2.2,602,45,1398,59,1263,562,8.0,69.4,0.7459
3/26/04,5:00:00,0.8,952,52,3.0,654,72,1210,73,1312,832,7.7,72.4,0.7655
3/26/04,6:00:00,0.9,1005,64,4.0,713,103,1130,78,1363,924,8.0,71.8,0.7711
3/26/04,7:00:00,1.6,1122,88,6.7,842,132,1015,90,1438,974,8.5,66.3,0.7375
3/26/04,8:00:00,3.4,1351,375,16.7,1201,239,783,110,1828,1307,9.8,59.6,0.7214
3/26/04,9:00:00,3.8,1408,592,19.3,1278,275,682,114,1928,1481,11.2,57.0,0.7544
3/26/04,10:00:00,3.1,1304,357,14.8,1142,232,772,119,1747,1405,14.8,44.1,0.7407
3/26/04,11:00:00,2.7,1207,296,13.4,1098,180,826,121,1664,1195,16.8,35.3,0.6729
3/26/04,12:00:00,2,1099,181,11.0,1014,112,948,97,1503,868,19.2,27.1,0.5976
3/26/04,13:00:00,2.3,1106,211,12.5,1068,116,915,99,1535,874,19.1,26.2,0.5741
3/26/04,14:00:00,1.9,1009,199,8.4,916,103,1015,85,1391,738,16.3,30.8,0.5683
3/26/04,15:00:00,1.3,962,81,5.3,776,89,1152,75,1279,550,14.2,36.8,0.5922
3/26/04,16:00:00,1.9,1093,143,8.8,933,112,976,87,1454,777,13.4,41.0,0.6292
3/26/04,17:00:00,2.3,1180,247,11.2,1023,127,886,102,1588,966,14.2,43.3,0.6982
3/26/04,18:00:00,2.4,1168,239,11.6,1037,125,868,105,1580,990,12.1,45.6,0.6403
3/26/04,19:00:00,2.7,1168,267,12.4,1063,120,876,98,1540,944,10.4,48.0,0.6046
3/26/04,20:00:00,2.6,1140,261,10.6,1000,120,916,93,1490,962,10.0,51.1,0.6280
3/26/04,21:00:00,1.5,1001,97,6.0,811,99,1097,91,1308,778,9.8,50.8,0.6172
3/26/04,22:00:00,1.2,953,66,4.6,743,79,1185,85,1252,690,9.7,50.4,0.6063
3/26/04,23:00:00,1.1,972,60,4.1,715,66,1237,74,1258,644,9.9,50.2,0.6103
3/27/04,0:00:00,1.5,1021,77,5.2,776,94,1144,87,1307,753,9.4,53.4,0.6300
3/27/04,1:00:00,1,940,57,3.2,664,70,1290,79,1232,646,8.6,57.8,0.6488
3/27/04,2:00:00,1.2,1046,65,4.5,736,75,1142,78,1312,838,8.1,62.1,0.6746
3/27/04,3:00:00,1.1,1026,59,3.8,699,200,1191,200,1292,851,7.9,63.5,0.6777
3/27/04,4:00:00,200,983,48,3.8,698,57,1209,63,1296,801,7.4,64.8,0.6683
3/27/04,5:00:00,0.8,915,27,1.9,578,32,1417,48,1212,665,8.2,58.9,0.6444
3/27/04,6:00:00,0.9,935,25,2.4,615,54,1373,59,1250,717,6.3,66.6,0.6410
3/27/04,7:00:00,1.1,976,42,3.3,669,68,1270,65,1266,795,7.2,62.9,0.6396
3/27/04,8:00:00,1.5,1124,78,6.7,842,98,1050,71,1418,936,7.2,63.9,0.6500
3/27/04,9:00:00,1.8,1163,128,8.5,919,128,922,84,1530,1076,11.1,50.5,0.6654
3/27/04,10:00:00,2.1,1167,184,9.7,966,129,942,93,1520,1016,15.5,36.1,0.6313
3/27/04,11:00:00,2.1,1121,156,9.4,955,130,992,99,1451,834,17.8,29.2,0.5920
3/27/04,12:00:00,1.9,1071,176,9.0,940,111,994,93,1449,756,17.6,30.1,0.6013
3/27/04,13:00:00,2.1,1065,232,10.0,979,106,950,96,1467,766,19.1,26.8,0.5861
3/27/04,14:00:00,2.5,1157,305,12.6,1072,137,888,114,1596,905,17.7,28.6,0.5735
3/27/04,15:00:00,1.9,1046,150,7.6,883,113,1051,101,1357,765,17.8,28.4,0.5737
3/27/04,16:00:00,2.2,1147,188,11.8,1042,122,934,108,1538,830,18.7,26.0,0.5555
3/27/04,17:00:00,2.3,1119,221,11.2,1022,137,916,117,1508,853,17.1,31.3,0.6038
3/27/04,18:00:00,2.7,1210,219,12.4,1062,165,886,125,1586,981,15.8,36.1,0.6440
3/27/04,19:00:00,3,1306,306,12.9,1079,196,827,133,1621,1286,14.7,40.1,0.6657
3/27/04,20:00:00,2.8,1258,270,12.2,1057,174,841,119,1633,1244,13.6,44.9,0.6991
3/27/04,21:00:00,2.2,1148,231,8.8,930,140,948,107,1475,1056,12.5,48.1,0.6946
3/27/04,22:00:00,1.6,1108,125,6.8,848,102,1023,96,1421,1003,11.8,50.8,0.7042
3/27/04,23:00:00,2.1,1231,122,8.6,924,130,906,105,1483,1245,10.9,56.1,0.7326
3/28/04,0:00:00,2.3,1293,161,8.9,937,121,930,102,1464,1200,10.9,55.9,0.7277
3/28/04,1:00:00,2.3,1274,101,8.3,912,111,939,97,1451,1188,10.3,58.1,0.7278
3/28/04,2:00:00,1.7,1135,95,6.3,827,87,1013,79,1395,1070,9.3,62.2,0.7294
3/28/04,3:00:00,2.2,1151,129,8.3,911,200,935,200,1501,1075,8.2,66.7,0.7276
3/28/04,4:00:00,1.3,1010,96,5.1,769,77,1110,69,1396,895,8.3,64.9,0.7124
3/28/04,5:00:00,0.8,870,54,2.6,626,39,1325,52,1284,755,9.6,58.5,0.7000
3/28/04,6:00:00,1.1,983,63,3.6,688,77,1251,62,1342,806,7.7,66.4,0.6990
3/28/04,7:00:00,1.4,995,72,3.6,691,91,1219,69,1321,836,7.4,68.0,0.7043
3/28/04,8:00:00,1.3,1024,91,4.7,747,105,1136,75,1382,897,9.7,58.6,0.7035
3/28/04,9:00:00,1.9,1163,127,7.5,880,133,959,83,1486,1073,12.5,50.1,0.7242
3/28/04,10:00:00,2.3,1218,193,9.0,938,128,918,94,1501,1088,16.8,36.9,0.7018
3/28/04,11:00:00,2.3,1210,188,9.5,958,126,933,96,1514,1036,19.2,31.3,0.6887
3/28/04,12:00:00,1.8,1114,151,7.7,887,92,1020,86,1438,768,21.3,26.4,0.6607
3/28/04,13:00:00,1.4,995,103,5.7,796,66,1159,72,1287,587,21.2,23.1,0.5768
3/28/04,14:00:00,1,927,55,3.8,700,50,1285,53,1189,452,18.6,25.0,0.5319
3/28/04,15:00:00,1.4,1002,104,4.8,754,70,1189,65,1260,470,18.0,27.3,0.5594
3/28/04,16:00:00,1.3,987,116,4.3,727,73,1213,70,1244,502,18.2,28.3,0.5848
3/28/04,17:00:00,1.3,993,93,4.1,714,77,1217,75,1238,516,17.0,31.4,0.6048
3/28/04,18:00:00,1.4,1012,93,4.7,746,86,1174,86,1301,555,15.6,35.0,0.6170
3/28/04,19:00:00,1.9,1114,155,6.2,823,93,1068,94,1357,671,14.1,40.2,0.6438
3/28/04,20:00:00,1.8,1093,115,5.5,789,105,1102,103,1329,788,13.4,43.2,0.6623
3/28/04,21:00:00,1.1,968,75,3.3,669,67,1261,81,1246,538,12.3,46.8,0.6686
3/28/04,22:00:00,1.1,960,65,3.2,666,63,1266,80,1224,544,11.9,46.5,0.6449
3/28/04,23:00:00,1.1,942,57,2.9,648,63,1300,77,1204,500,11.5,46.6,0.6319
3/29/04,0:00:00,0.9,888,40,2.2,598,46,1396,58,1156,417,10.6,48.0,0.6135
3/29/04,1:00:00,0.6,818,27,1.3,524,21,1588,31,1071,341,10.7,45.8,0.5895
3/29/04,2:00:00,0.5,840,23,1.1,509,22,1643,38,1076,352,10.4,46.6,0.5901
3/29/04,3:00:00,0.7,894,28,1.3,524,200,1557,200,1095,397,10.1,47.8,0.5913
3/29/04,4:00:00,0.6,864,21,1.2,516,39,1496,59,1153,502,11.3,46.9,0.6280
3/29/04,5:00:00,0.7,898,33,1.7,559,55,1441,70,1180,648,10.1,51.2,0.6341
3/29/04,6:00:00,0.9,946,40,2.9,643,76,1309,75,1232,760,9.9,50.7,0.6167
3/29/04,7:00:00,2.9,1309,279,14.3,1125,181,844,103,1687,1183,8.1,56.8,0.6150
3/29/04,8:00:00,4.1,1326,743,19.7,1289,259,714,134,1806,1431,10.9,44.1,0.5748
3/29/04,9:00:00,1.5,966,147,5.5,786,118,1111,98,1258,705,11.8,37.6,0.5184
3/29/04,10:00:00,1.5,975,97,5.6,793,119,1133,97,1254,637,13.9,33.2,0.5222
3/29/04,11:00:00,1.5,988,118,5.8,803,123,1105,98,1293,658,15.6,30.1,0.5285
3/29/04,12:00:00,1.4,971,91,5.5,786,92,1129,78,1272,546,16.5,29.0,0.5406
3/29/04,13:00:00,1.6,1010,146,6.5,833,91,1070,83,1332,561,17.5,27.9,0.5517
3/29/04,14:00:00,1.5,984,139,5.5,790,103,1131,92,1268,532,17.9,26.8,0.5446
3/29/04,15:00:00,1.4,962,155,5.2,776,102,1131,81,1247,535,18.2,26.1,0.5387
3/29/04,16:00:00,1.5,1012,128,5.8,801,94,1098,90,1289,525,18.0,27.1,0.5522
3/29/04,17:00:00,1.9,1058,166,7.9,896,98,996,95,1358,603,17.0,28.9,0.5558
3/29/04,18:00:00,2.5,1173,299,10.2,985,126,905,114,1477,802,16.1,31.3,0.5680
3/29/04,19:00:00,2.1,1127,163,8.2,907,108,957,106,1404,796,14.5,35.4,0.5839
3/29/04,20:00:00,1.6,1020,154,5.7,797,95,1066,99,1302,689,13.2,37.9,0.5733
3/29/04,21:00:00,1.2,949,80,3.8,700,78,1221,90,1178,553,13.1,34.4,0.5170
3/29/04,22:00:00,1.1,930,58,4.0,710,61,1278,82,1137,509,13.5,28.5,0.4405
3/29/04,23:00:00,1,900,55,2.8,643,55,1339,74,1089,455,12.4,31.9,0.4583
3/30/04,0:00:00,1,899,33,2.6,630,57,1418,76,1050,425,13.1,26.8,0.4023
3/30/04,1:00:00,0.7,866,33,1.8,569,41,1468,66,1055,436,11.6,33.6,0.4595
3/30/04,2:00:00,0.7,900,32,1.7,563,46,1402,73,1130,618,10.5,42.9,0.5442
3/30/04,3:00:00,0.8,949,25,1.4,540,200,1457,200,1104,747,11.7,38.7,0.5298
3/30/04,4:00:00,200,897,29,1.3,529,41,1462,69,1101,693,12.2,37.2,0.5277
3/30/04,5:00:00,0.7,956,26,2.3,605,52,1341,71,1117,691,12.9,33.9,0.5037
3/30/04,6:00:00,1.1,1054,86,5.3,779,111,1080,98,1266,1013,11.3,40.3,0.5376
3/30/04,7:00:00,2.6,1343,294,13.4,1096,191,839,115,1587,1311,11.9,38.4,0.5341
3/30/04,8:00:00,4,1584,664,23.8,1399,244,642,130,1947,1675,13.3,35.6,0.5416
3/30/04,9:00:00,4.2,1556,695,21.5,1337,283,674,150,1852,1689,16.3,28.8,0.5305
3/30/04,10:00:00,4.7,1565,735,21.0,1324,320,695,159,1872,1688,17.9,28.2,0.5741
3/30/04,11:00:00,3.9,1429,649,18.4,1251,249,734,146,1754,1548,18.3,26.6,0.5529
3/30/04,12:00:00,3.7,1419,586,18.9,1267,219,742,138,1763,1490,20.8,22.5,0.5463
3/30/04,13:00:00,3.4,1373,546,17.1,1213,200,791,128,1711,1354,22.4,20.0,0.5352
3/30/04,14:00:00,2.2,1185,245,10.4,992,138,942,97,1448,1014,20.9,21.7,0.5295
3/30/04,15:00:00,1.9,1122,178,8.0,897,118,991,91,1372,831,19.1,26.5,0.5790
3/30/04,16:00:00,1.6,1085,130,6.2,820,99,1060,81,1325,699,18.1,30.6,0.6295
3/30/04,17:00:00,2.1,1249,151,9.7,968,112,874,99,1527,926,17.3,34.7,0.6788
3/30/04,18:00:00,2.2,1236,272,9.6,962,117,853,101,1532,928,15.8,40.4,0.7228
3/30/04,19:00:00,2.7,1334,301,11.9,1047,129,815,106,1638,1038,15.9,42.0,0.7541
3/30/04,20:00:00,2.4,1264,237,8.7,928,132,884,102,1534,1035,15.9,43.5,0.7790
3/30/04,21:00:00,1.3,1073,95,4.7,746,73,1072,84,1360,789,15.0,46.1,0.7833
3/30/04,22:00:00,1.2,1053,68,3.8,701,68,1147,81,1323,692,15.1,44.6,0.7574
3/30/04,23:00:00,1.5,1098,101,4.7,747,80,1094,91,1360,764,14.9,43.5,0.7302
3/31/04,0:00:00,1.3,1029,81,3.8,702,68,1180,82,1287,639,14.8,41.0,0.6850
3/31/04,1:00:00,1,973,50,2.7,631,44,1287,64,1240,541,14.8,40.8,0.6814
3/31/04,2:00:00,0.9,972,66,2.8,639,47,1222,70,1256,678,14.8,40.8,0.6834
3/31/04,3:00:00,0.5,832,22,1.0,496,200,1613,200,1066,381,14.2,36.1,0.5823
3/31/04,4:00:00,0.5,851,18,0.8,477,15,1699,26,1064,343,14.5,36.1,0.5928
3/31/04,5:00:00,0.6,909,31,1.5,545,44,1473,58,1131,436,14.6,36.0,0.5947
3/31/04,6:00:00,1,1038,57,3.5,684,85,1220,93,1279,688,14.4,38.5,0.6291
3/31/04,7:00:00,3.1,1636,342,15.6,1168,207,721,110,1926,1438,13.8,58.2,0.9129
3/31/04,8:00:00,4.1,1580,644,19.9,1295,230,639,115,1957,1489,13.2,61.1,0.9256
3/31/04,9:00:00,2.2,1262,216,8.6,924,181,872,125,1576,1093,10.4,74.4,0.9384
3/31/04,10:00:00,1.7,1197,117,6.5,837,144,957,118,1498,965,11.5,71.0,0.9582
3/31/04,11:00:00,1.9,1277,156,7.7,886,140,902,109,1579,1004,12.2,70.0,0.9924
3/31/04,12:00:00,2.9,1430,332,11.3,1025,204,779,123,1772,1166,12.3,73.3,1.0442
3/31/04,13:00:00,2.2,1242,232,9.1,944,149,846,114,1638,991,11.3,78.1,1.0411
3/31/04,14:00:00,2.6,1349,295,11.2,1023,171,804,114,1748,1054,13.6,69.2,1.0746
3/31/04,15:00:00,3.1,1390,386,13.5,1100,195,755,119,1799,1192,14.9,59.3,0.9974
3/31/04,16:00:00,2.3,1224,278,10.1,980,152,850,111,1637,1055,15.7,50.9,0.8997
3/31/04,17:00:00,2.4,1253,263,11.3,1026,128,810,103,1681,1048,15.2,52.9,0.9087
3/31/04,18:00:00,2.8,1312,322,11.8,1041,121,821,103,1712,1073,15.5,50.8,0.8881
3/31/04,19:00:00,2.7,1254,226,11.5,1033,142,819,107,1669,1068,14.3,52.9,0.8581
3/31/04,20:00:00,2.3,1198,221,9.3,953,131,882,105,1588,1019,13.2,56.0,0.8446
3/31/04,21:00:00,1.5,1060,109,5.5,787,81,1044,91,1418,833,12.6,57.0,0.8315
3/31/04,22:00:00,1.4,1050,105,5.1,769,60,1078,79,1409,759,12.3,57.8,0.8224
3/31/04,23:00:00,1.2,1029,84,4.8,754,57,1098,79,1395,749,12.0,58.4,0.8164
4/1/04,0:00:00,1.6,1143,106,6.3,825,96,986,86,1477,978,12.0,61.6,0.8593
4/1/04,1:00:00,1.2,1044,100,5.1,770,85,1031,70,1425,944,11.5,63.9,0.8652
4/1/04,2:00:00,1.1,1034,71,4.1,716,50,1085,55,1405,891,10.7,67.2,0.8630
4/1/04,3:00:00,0.9,956,72,4.0,713,200,1099,200,1422,849,9.0,73.1,0.8394
4/1/04,4:00:00,0.7,909,44,2.4,615,57,1237,49,1322,790,10.2,66.6,0.8299
4/1/04,5:00:00,0.9,996,45,2.9,648,64,1176,50,1340,852,11.0,63.7,0.8325
4/1/04,6:00:00,1.7,1154,134,7.4,876,153,1002,67,1561,987,9.6,68.8,0.8243
4/1/04,7:00:00,4.2,1510,505,19.8,1291,342,675,94,1949,1435,9.5,69.6,0.8273
4/1/04,8:00:00,6.2,1722,1042,31.9,1595,378,539,119,2439,1798,11.9,60.9,0.8455
4/1/04,9:00:00,4.6,1512,737,21.0,1323,304,631,139,2001,1677,16.2,48.6,0.8892
4/1/04,10:00:00,2.8,1258,375,11.7,1040,192,800,113,1701,1282,19.2,39.6,0.8693
4/1/04,11:00:00,1.6,1094,124,6.8,850,130,970,88,1489,871,19.7,38.4,0.8743
4/1/04,12:00:00,1.7,1129,137,7.4,875,106,974,73,1524,759,20.6,36.7,0.8797
4/1/04,13:00:00,1.7,1125,179,8.6,924,102,937,73,1542,790,21.8,33.9,0.8771
4/1/04,14:00:00,1.7,200,222,200.0,200,99,200,72,200,200,200,200,200
4/1/04,15:00:00,1.9,200,197,200.0,200,108,200,81,200,200,200,200,200
4/1/04,16:00:00,2.3,200,319,200.0,200,131,200,93,200,200,200,200,200
4/1/04,17:00:00,3.3,1308,388,16.4,1193,163,793,106,1193,1187,23.6,27.5,0.7913
4/1/04,18:00:00,4.2,1529,589,21.2,1331,211,700,132,2028,1399,22.8,32.1,0.8814
4/1/04,19:00:00,5.5,1592,840,25.0,1429,267,624,164,2089,1644,20.8,36.7,0.8878
4/1/04,20:00:00,4.9,1536,655,20.2,1302,269,666,161,1922,1599,18.3,40.9,0.8493
4/1/04,21:00:00,2.5,1192,254,10.8,1007,154,827,124,1604,1223,16.8,44.0,0.8341
4/1/04,22:00:00,2,1186,188,9.9,976,127,844,113,1570,1200,15.8,48.0,0.8569
